Sub-Daily Data Between Two Dates,,,,,,,,,,,,,,,,,
JEWETT FLD AP (MI),,,,,,,,,,,,,,,,,
54822,,,,,,,,,,,,,,,,,
Lat/Lon/Elev: 42.5658/-84.4331/922 ft,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F)
1/1/2021,14:35,30,93,28,11,70,m,900,1400,4100,3,982.2,M,1015.6,m,21,NC
1/1/2021,14:55,30,93,28,11,60,m,900,1700,4800,5,982.5,M,1015.9,m,21,NC
1/1/2021,15:15,30,93,28,11,50,16,900,2200,3600,4,981.2,M,1014.6,m,21,NC
1/1/2021,15:35,30,93,29,13,50,18,700,m,m,4,980.5,M,1013.9,m,20,NC
1/1/2021,15:55,30,93,29,13,50,m,700,m,m,5,979.9,M,1013.2,m,20,NC
1/1/2021,16:15,30,95,29,15,50,18,700,m,m,4,978.9,M,1012.2,m,19,NC
1/1/2021,16:35,31,95,29,10,60,m,700,m,m,4,979.2,M,1012.5,m,22,NC
1/1/2021,16:55,31,95,29,11,70,16,700,m,m,4,978.9,M,1012.2,m,22,NC
1/1/2021,17:15,31,95,30,9,80,18,700,m,m,3,977.9,M,1011.2,m,23,NC
1/1/2021,17:35,31,95,30,10,70,16,500,m,m,4,977.6,M,1010.8,m,22,NC
1/1/2021,17:55,31,95,30,9,70,m,500,m,m,5,977.2,M,1010.5,m,23,NC
1/1/2021,18:15,31,96,30,6,70,m,500,m,m,3,976.9,M,1010.2,m,25,NC
1/1/2021,18:35,31,97,31,9,70,m,500,m,m,3,976.9,M,1010.2,m,23,NC
1/1/2021,18:55,32,97,31,6,70,m,500,m,m,3,976.9,M,1010.2,m,26,NC
1/1/2021,19:15,32,100,31,7,60,m,500,m,m,3,977.2,M,1010.5,m,25,NC
1/1/2021,19:35,32,100,31,6,60,m,500,m,m,2,976.9,M,1010.2,m,26,NC
1/1/2021,19:55,32,100,31,7,70,m,500,m,m,3,976.6,M,1009.8,m,25,NC
1/1/2021,20:15,32,100,31,8,70,m,500,m,m,4,976.3,M,1009.5,m,25,NC
1/1/2021,20:35,32,97,31,11,70,m,500,m,m,3,975.6,M,1008.8,m,23,NC
1/1/2021,20:55,32,97,31,8,70,m,500,m,m,2,975.6,M,1008.8,m,25,NC
1/1/2021,21:15,32,97,31,8,40,m,500,m,m,2,975.3,M,1008.5,m,25,NC
1/1/2021,21:35,32,97,31,8,50,m,500,m,m,2,974.6,M,1007.8,m,25,NC
1/1/2021,21:55,32,97,31,7,40,m,500,m,m,4,974.3,M,1007.5,m,25,NC
1/1/2021,22:15,32,97,31,7,50,m,500,m,m,3,974.3,M,1007.5,m,25,NC
1/1/2021,22:35,32,100,31,8,30,m,500,m,m,4,974.3,M,1007.5,m,25,NC
1/1/2021,22:55,32,100,31,7,20,m,500,m,m,4,974.6,M,1007.8,m,25,NC
1/1/2021,23:15,32,97,31,7,20,m,500,m,m,3,974.3,M,1007.5,m,25,NC
1/1/2021,23:35,32,97,31,5,20,m,500,m,m,4,974.6,M,1007.8,m,27,NC
1/1/2021,23:55,32,97,31,6,10,m,500,m,m,2,974.9,M,1008.1,m,26,NC
1/2/2021,0:15,32,97,31,5,340,m,500,m,m,1,975.6,M,1008.8,m,27,NC
1/2/2021,0:35,32,97,31,5,340,m,300,m,m,2,975.9,M,1009.1,m,27,NC
1/2/2021,0:55,31,98,31,6,330,m,300,m,m,2,976.3,M,1009.5,m,25,NC
1/2/2021,1:15,31,97,31,9,350,m,300,m,m,5,976.3,M,1009.5,m,23,NC
1/2/2021,1:35,31,97,31,6,350,m,500,m,m,7,976.3,M,1009.5,m,25,NC
1/2/2021,1:55,31,97,31,6,360,m,500,m,m,5,976.3,M,1009.5,m,25,NC
1/2/2021,2:15,31,96,30,8,10,m,500,m,m,7,976.3,M,1009.5,m,24,NC
1/2/2021,2:35,31,97,30,5,340,m,700,m,m,10,976.9,M,1010.2,m,26,NC
1/2/2021,2:55,31,96,30,5,320,m,700,m,m,10,977.6,M,1010.8,m,26,NC
1/2/2021,3:15,31,96,30,7,330,m,700,m,m,7,977.9,M,1011.2,m,24,NC
1/2/2021,3:35,31,97,31,9,320,m,700,m,m,7,978.9,M,1012.2,m,23,NC
1/2/2021,3:55,31,97,31,8,330,m,500,m,m,7,979.2,M,1012.5,m,24,NC
1/2/2021,4:15,31,98,31,6,340,m,500,m,m,4,979.6,M,1012.9,m,25,NC
1/2/2021,4:35,31,98,31,5,330,m,500,m,m,4,980.2,M,1013.5,m,26,NC
1/2/2021,4:55,31,99,31,6,340,m,500,m,m,4,980.5,M,1013.9,m,25,NC
1/2/2021,5:15,31,98,31,6,340,m,300,m,m,4,980.2,M,1013.5,m,25,NC
1/2/2021,5:35,31,96,30,5,320,m,300,m,m,7,980.9,M,1014.2,m,26,NC
1/2/2021,5:55,31,96,30,3,300,m,500,m,m,7,981.5,M,1014.9,m,NC,NC
1/2/2021,6:15,31,95,30,6,320,m,500,m,m,7,982.2,M,1015.6,m,25,NC
1/2/2021,6:35,31,96,30,3,320,m,500,m,m,7,982.5,M,1015.9,m,NC,NC
1/2/2021,6:55,30,96,29,3,330,m,500,m,m,7,982.5,M,1015.9,m,NC,NC
1/2/2021,7:15,30,100,30,3,330,m,500,m,m,5,982.8,M,1016.3,m,NC,NC
1/2/2021,7:35,30,100,30,0,0,m,500,m,m,5,983.2,M,1016.6,m,NC,NC
1/2/2021,7:55,30,100,30,0,0,m,500,m,m,5,983.5,M,1016.9,m,NC,NC
1/2/2021,8:15,31,97,30,0,0,m,500,m,m,3,983.8,M,1017.3,m,NC,NC
1/2/2021,8:35,31,97,30,0,0,m,500,m,m,4,984.5,M,1017.9,m,NC,NC
1/2/2021,8:55,31,97,30,3,310,m,700,m,m,4,984.5,M,1017.9,m,NC,NC
1/2/2021,9:15,31,95,30,5,310,m,500,m,m,4,984.8,M,1018.3,m,26,NC
1/2/2021,9:35,31,96,30,5,320,m,500,m,m,2,984.8,M,1018.3,m,26,NC
1/2/2021,9:55,31,97,31,3,320,m,500,m,m,2,985.2,M,1018.6,m,NC,NC
1/2/2021,10:15,31,98,31,3,330,m,500,m,m,1,985.2,M,1018.6,m,NC,NC
1/2/2021,10:35,31,98,31,0,0,m,300,m,m,1,985.2,M,1018.6,m,NC,NC
1/2/2021,10:55,31,98,31,3,340,m,300,m,m,1,985.2,M,1018.6,m,NC,NC
1/2/2021,11:15,31,97,31,3,350,m,300,m,m,1,985.2,M,1018.6,m,NC,NC
1/2/2021,11:35,31,98,31,0,0,m,300,m,m,1,985.2,M,1018.6,m,NC,NC
1/2/2021,11:55,31,97,31,0,0,m,300,m,m,2,985.2,M,1018.6,m,NC,NC
1/2/2021,12:15,31,97,31,0,0,m,300,m,m,2,985.2,M,1018.6,m,NC,NC
1/2/2021,12:35,32,97,31,5,30,m,300,m,m,2,985.2,M,1018.6,m,27,NC
1/2/2021,12:55,32,97,31,0,0,m,300,800,m,2,984.8,M,1018.3,m,NC,NC
1/2/2021,13:15,32,96,31,8,90,m,600,m,m,5,985.2,M,1018.6,m,25,NC
1/2/2021,13:35,32,94,30,0,0,m,600,m,m,7,985.2,M,1018.6,m,NC,NC
1/2/2021,13:55,32,94,30,3,70,m,600,m,m,10,984.8,M,1018.3,m,NC,NC
1/2/2021,14:15,31,94,30,0,0,m,600,m,m,10,984.8,M,1018.3,m,NC,NC
1/2/2021,14:35,31,95,30,3,80,m,600,m,m,7,984.8,M,1018.3,m,NC,NC
1/2/2021,14:55,31,95,30,9,100,m,600,m,m,10,985.2,M,1018.6,m,23,NC
1/2/2021,15:15,31,97,31,3,80,m,400,m,m,5,985.2,M,1018.6,m,NC,NC
1/2/2021,15:35,31,97,30,0,0,m,400,m,m,5,985.2,M,1018.6,m,NC,NC
1/2/2021,15:55,31,97,30,6,100,m,400,m,m,5,985.2,M,1018.6,m,25,NC
1/2/2021,16:15,31,97,30,3,80,m,400,m,m,2,985.2,M,1018.6,m,NC,NC
1/2/2021,16:35,31,99,31,7,110,m,200,m,m,1,984.8,M,1018.3,m,24,NC
1/2/2021,16:55,30,100,30,6,100,m,200,m,m,1,985.2,M,1018.6,m,24,NC
1/2/2021,17:15,30,100,30,6,120,m,200,m,m,1,985.5,M,1019,m,24,NC
1/2/2021,17:35,30,100,30,7,160,m,200,m,m,1,985.2,M,1018.6,m,23,NC
1/2/2021,17:55,30,100,30,6,150,m,200,m,m,1,985.2,M,1018.6,m,24,NC
1/2/2021,18:15,30,100,30,6,110,m,200,m,m,1,985.2,M,1018.6,m,24,NC
1/2/2021,18:35,30,100,30,7,130,m,200,m,m,2,984.8,M,1018.3,m,23,NC
1/2/2021,18:55,30,100,30,6,120,m,200,m,m,3,985.2,M,1018.6,m,24,NC
1/2/2021,19:15,31,98,30,6,110,m,200,m,m,3,984.8,M,1018.3,m,25,NC
1/2/2021,19:35,31,97,30,5,120,m,200,m,m,4,984.5,M,1017.9,m,26,NC
1/2/2021,19:55,31,97,30,5,100,m,200,m,m,5,984.5,M,1017.9,m,26,NC
1/2/2021,20:15,31,98,31,6,110,m,200,m,m,4,984.2,M,1017.6,m,25,NC
1/2/2021,20:35,31,99,31,5,90,m,200,m,m,3,983.8,M,1017.3,m,26,NC
1/2/2021,20:55,31,99,31,6,130,m,200,m,m,2,983.8,M,1017.3,m,25,NC
1/2/2021,21:15,31,100,31,6,150,m,200,m,m,3,983.8,M,1017.3,m,25,NC
1/2/2021,21:35,31,100,31,6,140,m,200,m,m,3,983.5,M,1016.9,m,25,NC
1/2/2021,21:55,31,98,31,5,140,m,200,m,m,3,983.2,M,1016.6,m,26,NC
1/2/2021,22:15,31,98,31,5,130,m,200,m,m,2,983.2,M,1016.6,m,26,NC
1/2/2021,22:35,32,99,31,3,130,m,200,m,m,2,983.2,M,1016.6,m,NC,NC
1/2/2021,22:55,32,99,31,7,130,m,200,m,m,3,983.2,M,1016.6,m,25,NC
1/2/2021,23:15,32,99,31,7,150,m,200,m,m,4,983.2,M,1016.6,m,25,NC
1/2/2021,23:35,32,97,31,8,160,m,200,m,m,4,983.2,M,1016.6,m,25,NC
1/2/2021,23:55,32,97,31,6,130,m,200,m,m,2,982.8,M,1016.3,m,26,NC
1/3/2021,0:15,31,97,31,3,140,m,400,2300,m,7,982.5,M,1015.9,m,NC,NC
1/3/2021,0:35,31,96,30,0,0,m,600,1000,2300,4,981.5,M,1014.9,m,NC,NC
1/3/2021,0:55,31,97,30,0,0,m,900,1700,2100,4,981.9,M,1015.2,m,NC,NC
1/3/2021,1:15,31,97,30,3,80,m,900,1700,m,4,981.5,M,1014.9,m,NC,NC
1/3/2021,1:35,31,97,30,5,60,m,1000,1900,2500,7,981.2,M,1014.6,m,26,NC
1/3/2021,1:55,31,97,30,6,60,m,2300,m,m,10,980.9,M,1014.2,m,25,NC
1/3/2021,2:15,31,97,30,5,60,m,2500,3000,m,10,980.5,M,1013.9,m,26,NC
1/3/2021,2:35,31,97,30,5,70,m,2200,2900,m,10,980.5,M,1013.9,m,26,NC
1/3/2021,2:55,31,97,30,3,50,m,1600,2700,m,7,980.5,M,1013.9,m,NC,NC
1/3/2021,3:15,31,97,31,5,60,m,1400,m,m,7,980.2,M,1013.5,m,26,NC
1/3/2021,3:35,31,97,31,3,60,m,1400,1800,2500,7,980.2,M,1013.5,m,NC,NC
1/3/2021,3:55,31,97,31,5,60,m,1400,1800,m,7,980.2,M,1013.5,m,26,NC
1/3/2021,4:15,31,98,31,3,60,m,1800,m,m,7,979.9,M,1013.2,m,NC,NC
1/3/2021,4:35,31,98,31,0,0,m,1000,1600,m,7,979.9,M,1013.2,m,NC,NC
1/3/2021,4:55,31,98,31,3,40,m,1000,m,m,5,979.6,M,1012.9,m,NC,NC
1/3/2021,5:15,31,98,31,0,0,m,600,1000,1700,2,979.6,M,1012.9,m,NC,NC
1/3/2021,5:35,31,98,31,3,40,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,5:55,31,99,31,5,40,m,400,m,m,1,979.6,M,1012.9,m,26,NC
1/3/2021,6:15,31,99,31,3,40,m,400,1000,m,1,979.6,M,1012.9,m,NC,NC
1/3/2021,6:35,31,99,31,3,30,m,400,m,m,1,979.6,M,1012.9,m,NC,NC
1/3/2021,6:55,31,99,31,5,30,m,400,m,m,2,979.6,M,1012.9,m,26,NC
1/3/2021,7:15,31,99,31,5,40,m,400,m,m,2,979.6,M,1012.9,m,26,NC
1/3/2021,7:35,31,99,31,5,40,m,400,m,m,2,979.6,M,1012.9,m,26,NC
1/3/2021,7:55,31,99,31,5,40,m,400,m,m,3,979.6,M,1012.9,m,26,NC
1/3/2021,8:15,31,98,31,5,40,m,400,m,m,3,979.6,M,1012.9,m,26,NC
1/3/2021,8:35,31,99,31,3,40,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,8:55,31,99,31,3,50,m,400,m,m,3,979.6,M,1012.9,m,NC,NC
1/3/2021,9:15,31,98,31,3,50,m,400,m,m,1,979.6,M,1012.9,m,NC,NC
1/3/2021,9:35,32,97,31,0,0,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,9:55,32,97,31,3,40,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,10:15,32,97,31,3,50,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,10:35,32,100,31,3,40,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,10:55,32,100,31,0,0,m,400,m,m,3,979.6,M,1012.9,m,NC,NC
1/3/2021,11:15,32,100,31,0,0,m,400,m,m,2,979.6,M,1012.9,m,NC,NC
1/3/2021,11:35,32,100,32,0,0,m,400,m,m,3,979.2,M,1012.5,m,NC,NC
1/3/2021,11:55,32,97,32,0,0,m,400,m,m,4,979.2,M,1012.5,m,NC,NC
1/3/2021,12:15,32,97,32,0,0,m,400,m,m,5,979.6,M,1012.9,m,NC,NC
1/3/2021,12:35,32,97,32,0,0,m,600,m,m,7,979.2,M,1012.5,m,NC,NC
1/3/2021,12:55,33,96,32,0,0,m,600,m,m,10,979.2,M,1012.5,m,NC,NC
1/3/2021,13:15,33,97,32,0,0,m,600,m,m,7,979.2,M,1012.5,m,NC,NC
1/3/2021,13:35,33,93,31,0,0,m,800,m,m,7,979.2,M,1012.5,m,NC,NC
1/3/2021,13:55,33,94,32,0,0,m,800,m,m,10,979.2,M,1012.5,m,NC,NC
1/3/2021,14:15,33,95,32,3,300,m,600,m,m,10,979.2,M,1012.5,m,NC,NC
1/3/2021,14:35,33,94,32,5,300,m,600,m,m,10,979.6,M,1012.9,m,28,NC
1/3/2021,14:55,33,94,31,6,300,m,600,m,m,10,979.9,M,1013.2,m,27,NC
1/3/2021,15:15,33,95,32,5,280,m,600,m,m,10,979.9,M,1013.2,m,28,NC
1/3/2021,15:35,33,96,32,5,300,m,600,m,m,7,980.2,M,1013.5,m,28,NC
1/3/2021,15:55,33,96,32,3,290,m,600,m,m,7,980.5,M,1013.9,m,NC,NC
1/3/2021,16:15,33,96,32,5,290,m,600,m,m,7,980.5,M,1013.9,m,28,NC
1/3/2021,16:35,33,95,32,0,0,m,600,m,m,7,980.5,M,1013.9,m,NC,NC
1/3/2021,16:55,33,95,32,3,290,m,600,m,m,7,981.2,M,1014.6,m,NC,NC
1/3/2021,17:15,33,97,32,5,280,m,600,m,m,7,981.2,M,1014.6,m,28,NC
1/3/2021,17:35,32,97,32,3,290,m,600,m,m,7,981.2,M,1014.6,m,NC,NC
1/3/2021,17:55,32,97,32,3,290,m,600,m,m,5,981.9,M,1015.2,m,NC,NC
1/3/2021,18:15,32,98,32,0,0,m,400,m,m,3,981.5,M,1014.9,m,NC,NC
1/3/2021,18:35,32,97,32,3,280,m,600,m,m,5,981.9,M,1015.2,m,NC,NC
1/3/2021,18:55,32,97,32,3,280,m,600,m,m,5,982.2,M,1015.6,m,NC,NC
1/3/2021,19:15,32,97,32,3,280,m,600,1000,1800,5,982.2,M,1015.6,m,NC,NC
1/3/2021,19:35,32,97,32,5,280,m,800,1200,1900,5,982.5,M,1015.9,m,27,NC
1/3/2021,19:55,32,97,31,3,280,m,1500,m,m,5,982.5,M,1015.9,m,NC,NC
1/3/2021,20:15,32,94,31,5,300,m,1000,1300,m,10,982.8,M,1016.3,m,27,NC
1/3/2021,20:35,32,93,30,7,270,m,800,m,m,10,982.8,M,1016.3,m,25,NC
1/3/2021,20:55,32,93,30,3,260,m,800,m,m,10,982.5,M,1015.9,m,NC,NC
1/3/2021,21:15,32,93,30,7,280,m,800,m,m,10,982.5,M,1015.9,m,25,NC
1/3/2021,21:35,32,93,30,5,300,m,600,m,m,10,982.5,M,1015.9,m,27,NC
1/3/2021,21:55,32,94,30,6,320,m,600,m,m,10,982.5,M,1015.9,m,26,NC
1/3/2021,22:15,32,94,30,3,310,m,600,m,m,10,982.5,M,1015.9,m,NC,NC
1/3/2021,22:35,31,94,30,3,270,m,600,m,m,10,982.8,M,1016.3,m,NC,NC
1/3/2021,22:55,32,93,30,0,0,m,600,m,m,10,982.5,M,1015.9,m,NC,NC
1/3/2021,23:15,32,93,30,3,250,m,600,m,m,7,982.5,M,1015.9,m,NC,NC
1/3/2021,23:35,32,92,30,6,280,m,600,m,m,7,982.8,M,1016.3,m,26,NC
1/3/2021,23:55,32,92,30,0,0,m,800,m,m,7,982.8,M,1016.3,m,NC,NC
1/4/2021,0:15,32,92,30,0,0,m,800,m,m,7,982.8,M,1016.3,m,NC,NC
1/4/2021,0:35,32,92,30,0,0,m,800,m,m,7,982.8,M,1016.3,m,NC,NC
1/4/2021,0:55,32,92,30,0,0,m,1000,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,1:15,32,93,30,0,0,m,1000,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,1:35,32,86,29,0,0,m,1200,m,m,10,982.5,M,1015.9,m,NC,NC
1/4/2021,1:55,32,86,29,0,0,m,1200,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,2:15,32,86,29,0,0,m,1200,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,2:35,32,93,29,0,0,m,1200,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,2:55,32,93,29,0,0,m,1400,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,3:15,32,93,30,0,0,m,1600,m,m,7,983.2,M,1016.6,m,NC,NC
1/4/2021,3:35,32,93,30,3,180,m,1600,m,m,7,983.2,M,1016.6,m,NC,NC
1/4/2021,3:55,32,92,30,0,0,m,1800,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,4:15,32,93,30,0,0,m,1800,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,4:35,31,95,30,3,210,m,1100,1800,m,5,983.2,M,1016.6,m,NC,NC
1/4/2021,4:55,31,95,30,0,0,m,900,1600,m,3,982.8,M,1016.3,m,NC,NC
1/4/2021,5:15,31,97,31,3,190,m,900,1600,m,7,982.8,M,1016.3,m,NC,NC
1/4/2021,5:35,32,94,30,0,0,m,1400,m,m,10,982.8,M,1016.3,m,NC,NC
1/4/2021,5:55,32,93,29,3,230,m,1200,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,6:15,32,86,30,3,230,m,1200,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,6:35,32,86,29,3,200,m,1200,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,6:55,32,86,29,0,0,m,1200,m,m,10,983.5,M,1016.9,m,NC,NC
1/4/2021,7:15,32,93,29,3,220,m,1400,m,m,10,983.5,M,1016.9,m,NC,NC
1/4/2021,7:35,32,86,29,3,230,m,1400,m,m,10,983.2,M,1016.6,m,NC,NC
1/4/2021,7:55,32,86,29,3,220,m,1400,m,m,10,983.5,M,1016.9,m,NC,NC
1/4/2021,8:15,32,86,29,3,210,m,1400,m,m,10,983.5,M,1016.9,m,NC,NC
1/4/2021,8:35,32,86,28,0,0,m,1400,m,m,10,983.5,M,1016.9,m,NC,NC
1/4/2021,8:55,32,86,28,5,250,m,1200,m,m,10,983.5,M,1016.9,m,27,NC
1/4/2021,9:15,32,85,28,5,230,m,1200,m,m,10,983.5,M,1016.9,m,27,NC
1/4/2021,9:35,32,85,28,6,220,m,1200,m,m,10,983.5,M,1016.9,m,26,NC
1/4/2021,9:55,32,85,28,5,220,m,1200,m,m,10,983.5,M,1016.9,m,27,NC
1/4/2021,10:15,31,88,28,5,200,m,1000,m,m,7,983.2,M,1016.6,m,26,NC
1/4/2021,10:35,31,89,28,6,170,m,1000,m,m,7,983.2,M,1016.6,m,25,NC
1/4/2021,10:55,31,88,28,5,170,m,1000,m,m,7,982.8,M,1016.3,m,26,NC
1/4/2021,11:15,31,88,28,7,170,m,1000,m,m,7,982.8,M,1016.3,m,24,NC
1/4/2021,11:35,31,87,28,6,230,m,1000,m,m,7,982.5,M,1015.9,m,25,NC
1/4/2021,11:55,31,88,28,5,210,m,1000,m,m,7,982.2,M,1015.6,m,26,NC
1/4/2021,12:15,31,88,28,3,200,m,1000,m,m,7,981.9,M,1015.2,m,NC,NC
1/4/2021,12:35,31,88,28,6,170,m,1000,m,m,7,981.5,M,1014.9,m,25,NC
1/4/2021,12:55,31,87,28,0,0,m,1000,m,m,10,981.2,M,1014.6,m,NC,NC
1/4/2021,13:15,31,87,27,5,230,m,1000,m,m,10,981.2,M,1014.6,m,26,NC
1/4/2021,13:35,31,87,28,6,220,m,1000,m,m,10,980.9,M,1014.2,m,25,NC
1/4/2021,13:55,31,87,28,5,190,m,1000,m,m,10,980.5,M,1013.9,m,26,NC
1/4/2021,14:15,31,88,28,3,210,m,1000,m,m,10,980.5,M,1013.9,m,NC,NC
1/4/2021,14:35,31,86,27,5,210,m,1000,m,m,10,980.5,M,1013.9,m,26,NC
1/4/2021,14:55,31,86,27,6,220,m,1000,m,m,10,980.5,M,1013.9,m,25,NC
1/4/2021,15:15,31,86,27,3,220,m,1000,m,m,10,980.5,M,1013.9,m,NC,NC
1/4/2021,15:35,31,87,28,5,180,m,1000,m,m,7,980.5,M,1013.9,m,26,NC
1/4/2021,15:55,30,88,28,5,190,m,1000,m,m,7,980.5,M,1013.9,m,25,NC
1/4/2021,16:15,30,86,27,5,210,m,1000,m,m,7,980.9,M,1014.2,m,25,NC
1/4/2021,16:35,30,86,27,3,190,m,1000,m,m,7,980.9,M,1014.2,m,NC,NC
1/4/2021,16:55,30,86,27,5,230,m,1000,m,m,10,980.9,M,1014.2,m,25,NC
1/4/2021,17:15,30,86,26,7,180,m,1000,m,m,10,980.9,M,1014.2,m,23,NC
